PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
311_PAX8,0.005468,0.062114,0.054611,0.063932,0.060079,0.011932,0.091017,1.035076,44.197,44.191,0.013,1,0.455,52
312_PBX2,0.034458,0.100281,0.000000,0.100948,0.034458,0.006824,0.999999,2.929594,57.745,57.671,0.148,1,0.3501,52
313_PLRG1,0.058091,0.087521,0.000000,0.087410,0.058091,0.011504,0.999999,1.504718,44.789,44.509,0.560,1,0.2271,52
314_PREB,0.077207,0.460347,0.000000,0.467239,0.077207,0.017354,0.999999,6.051778,32.798,32.762,0.072,1,0.3942,47
315_RB1,0.031444,0.076014,0.000000,0.076787,0.031444,0.006228,0.999999,2.441991,59.821,59.511,0.621,1,0.2154,52
316_RUNX1,0.057657,0.158413,0.000000,0.160008,0.057657,0.011420,0.999999,2.775152,44.264,44.071,0.386,1,0.2672,52
317_GATA4,0.045829,0.125369,0.000000,0.125767,0.045829,0.009076,0.999999,2.744263,50.754,50.720,0.067,1,0.3975,52
318_TFAP2A,0.000000,0.073029,0.051721,0.073315,0.051721,0.010218,0.000001,1.411970,47.888,47.888,0.000,1,0.5,52
319_ZNF306,0.030346,0.104857,0.000000,0.105423,0.030346,0.006010,0.999999,3.474032,61.045,61.019,0.053,1,0.4093,52
320_ZNF286,0.046935,0.079384,0.000000,0.079604,0.046935,0.009295,0.999999,1.696039,50.136,49.864,0.543,1,0.2307,52
321_ZNF318,0.046421,0.093213,0.000000,0.094438,0.046421,0.009194,0.999999,2.034374,49.728,49.250,0.957,1,0.1639,52
322_ZNF419,0.060823,0.139906,0.000000,0.141373,0.060823,0.012799,0.999999,2.324319,37.740,37.443,0.594,1,0.2204,46
323_ZNF426,0.000000,0.057487,0.031959,0.058226,0.031959,0.006357,0.000001,1.798785,60.456,60.456,0.000,1,0.5,52
324_ZNF57,0.033666,0.063842,0.000000,0.063807,0.033666,0.006667,0.999999,1.895276,58.724,58.648,0.152,1,0.3485,52
326_CORO1A,0.000000,0.271774,0.099457,0.274368,0.099457,0.019711,0.000001,2.732573,32.331,32.333,0.000,1,0.5,53
327_DMTF1,0.000000,0.182705,0.094357,0.183078,0.094357,0.018461,0.000001,1.936313,33.245,33.246,0.000,1,0.5,53
328_ETS2,0.048380,0.172964,0.041322,0.174402,0.089702,0.017657,0.539341,1.934384,34.535,34.524,0.022,1,0.441,53
329_FOXI1,0.024483,0.083597,0.110830,0.087337,0.135314,0.026561,0.180938,0.618293,23.950,23.870,0.160,1,0.3448,53
330_FOXO3A,0.139725,0.321424,0.000000,0.324416,0.139725,0.027413,0.999999,2.321817,22.369,22.154,0.430,1,0.256,53
331_HLX,0.000000,0.293865,0.117186,0.297096,0.117186,0.023215,0.000001,2.507684,28.021,28.023,0.000,1,0.5,53
332_HOXA2,0.000000,0.146744,0.137915,0.151044,0.137915,0.027127,0.000001,1.064015,23.554,23.554,0.000,1,0.5,53
333_HOXC6,0.062753,0.083596,0.000000,0.083018,0.062753,0.012307,0.999999,1.322933,43.748,43.500,0.497,1,0.2405,53
334_HR,0.000000,0.403903,0.157527,0.409019,0.157527,0.031296,0.000001,2.564021,20.327,20.328,0.000,1,0.5,53
335_KEAP1,0.000000,0.399752,0.165092,0.405560,0.165092,0.032812,0.000001,2.421381,19.048,19.049,0.000,1,0.5,53
336_LRRC14,0.000000,0.062845,0.133493,0.067962,0.133493,0.026178,0.000001,0.470771,24.366,24.366,0.000,1,0.5,53
337_EVI1,0.094183,0.183582,0.026596,0.183616,0.120779,0.023703,0.779797,1.518027,26.758,26.661,0.193,1,0.3303,53
338_MKX,0.000000,0.221306,0.100383,0.223473,0.100383,0.019800,0.000001,2.204621,31.972,31.973,0.000,1,0.5,53
339_NY-REN-34,0.000000,0.337991,0.097839,0.341299,0.097839,0.019759,0.000001,3.454558,32.294,32.299,0.000,1,0.5,52
340_PSIP1,0.000000,0.788957,0.202242,0.797540,0.202242,0.040836,0.000001,3.901050,14.169,14.176,0.000,1,0.5,53
341_SETD4,0.000000,0.475098,0.193395,0.480934,0.193395,0.038352,0.000001,2.456617,14.980,14.981,0.000,1,0.5,53
342_SOX11,0.000000,0.119296,0.130736,0.117375,0.130736,0.025469,0.000001,0.912492,23.666,23.695,0.000,1,0.5,53
343_TRIM34,0.025321,0.090611,0.112479,0.094315,0.137800,0.027052,0.183755,0.658199,23.476,23.404,0.144,1,0.3524,53
344_URF2,0.138899,0.293698,0.000000,0.295777,0.138899,0.027248,0.999999,2.129446,22.729,22.503,0.452,1,0.2507,53
345_ZBTB33,0.000000,0.138139,0.293765,0.150193,0.293765,0.057623,0.000001,0.470236,3.871,3.871,0.000,1,0.5,53
