PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
ENSG00000100351,0.331120,0.408886,0.000000,0.364290,0.331121,0.129291,0.999999,1.100173,-0.090,-0.481,0.780,1,0.1885,15
ENSG00000100353,0.000000,0.003295,0.006953,0.003184,0.006953,0.001531,0.000001,0.473977,77.252,77.366,0.000,1,0.5,42
ENSG00000100354,0.007583,0.015081,0.019825,0.015256,0.027408,0.007353,0.276678,0.538792,34.739,34.585,0.306,1,0.29,29
ENSG00000100365,0.000000,0.055500,0.108368,0.058265,0.108368,0.023907,0.000001,0.512147,22.945,22.947,0.000,1,0.5,42
ENSG00000100372,0.000000,0.117472,0.044705,0.116726,0.044705,0.016161,0.000001,2.627711,14.167,14.172,0.000,1,0.5,16
ENSG00000100380,0.000637,0.001896,0.003695,0.002015,0.004332,0.000958,0.147040,0.434760,89.208,89.150,0.116,1,0.3665,42
ENSG00000100387,0.000000,0.037125,0.067999,0.039183,0.067999,0.015007,0.000001,0.545961,32.632,32.632,0.000,1,0.5,42
ENSG00000100393,0.057134,1.006730,0.000000,1.044972,0.057134,0.045114,0.999999,18.289685,8.383,8.390,0.000,1,0.5,12
ENSG00000100401,0.000000,0.005115,0.009819,0.005357,0.009819,0.002166,0.000001,0.520998,72.166,72.168,0.000,1,0.5,42
ENSG00000100403,0.022399,0.017902,0.005984,0.014330,0.028383,0.008149,0.789171,0.520891,33.653,33.257,0.793,1,0.1866,28
ENSG00000100410,0.000000,0.009801,0.022267,0.009860,0.022267,0.004906,0.000001,0.440157,54.288,54.329,0.000,1,0.5,42
ENSG00000100412,0.000879,0.003213,0.007800,0.003600,0.008678,0.001917,0.101257,0.369010,74.947,74.898,0.099,1,0.3765,42
ENSG00000100418,0.062205,0.105107,0.000000,0.100921,0.062205,0.025483,0.999999,1.622397,9.494,9.239,0.510,1,0.2376,13
ENSG00000100425,0.000000,0.232917,0.250069,0.219673,0.250069,0.094034,0.000001,0.931413,0.359,0.423,0.000,1,0.5,15
ENSG00000100441,0.000000,0.025313,0.042851,0.027139,0.042851,0.010879,0.000001,0.590719,31.553,31.553,0.000,1,0.5,32
ENSG00000100442,0.000223,0.004202,0.009860,0.004750,0.010083,0.002227,0.022115,0.416742,71.864,71.863,0.003,1,0.4774,42
ENSG00000100445,0.043873,0.034504,0.000000,0.029252,0.043873,0.015253,0.999999,0.666745,17.051,16.356,1.390,1,0.1192,18
ENSG00000100462,0.000000,0.004066,0.007033,0.004277,0.007033,0.001552,0.000001,0.578151,79.170,79.171,0.000,1,0.5,42
ENSG00000100519,0.000588,0.000817,0.001431,0.000821,0.002020,0.000449,0.291405,0.392356,104.984,104.690,0.587,1,0.2218,42
ENSG00000100522,0.000000,0.022259,0.046471,0.024079,0.046471,0.010385,0.000001,0.478984,39.447,39.448,0.000,1,0.5,41
ENSG00000100523,0.000000,0.012122,0.023924,0.011022,0.023924,0.006743,0.000001,0.506683,29.524,29.837,0.000,1,0.5,26
ENSG00000100554,0.010049,0.012393,0.016537,0.011767,0.026587,0.006270,0.377987,0.442857,47.062,46.761,0.601,1,0.2191,38
ENSG00000100567,0.002746,0.001545,0.001158,0.001190,0.003904,0.000900,0.703341,0.317436,92.552,90.901,3.303,1,0.03458,42
ENSG00000100568,0.020472,0.015413,0.012135,0.012709,0.032607,0.007564,0.627829,0.407381,48.747,48.355,0.784,1,0.188,42
ENSG00000100575,0.000000,0.053325,0.104531,0.058035,0.104531,0.023086,0.000001,0.510137,23.924,23.924,0.000,1,0.5,42
ENSG00000100577,0.042172,0.020454,0.000000,0.012974,0.042172,0.011149,0.999999,0.307634,40.158,39.039,2.239,1,0.0673,37
ENSG00000100580,0.003915,0.029221,0.039790,0.030516,0.043705,0.010450,0.089587,0.667822,35.485,35.482,0.007,1,0.4663,36
ENSG00000100591,0.000000,0.005804,0.011200,0.006246,0.011200,0.002473,0.000001,0.518222,69.685,69.686,0.000,1,0.5,42
ENSG00000100596,0.020834,0.019658,0.026261,0.018184,0.047095,0.010699,0.442382,0.387787,39.644,39.029,1.230,1,0.1337,41
